ordinal,name,repository,url,commit_sha,scan_status,coverage,verdict,risk_score,file_count,text_files_scanned,text_bytes_scanned,finding_count,critical_count,high_count,medium_count,binary_count,top_rule_ids,error
4118,ggame,gxx950224/ggame,https://github.com/gxx950224/ggame,253a3d4aef97bad0d9704efdf7a83085006ddaec,ok_partial,partial,high_risk,39,133,40,458083,9,0,3,6,92,PLUGIN_INSTALL_COMMAND;SHELL_TRUE;SENSITIVE_DSH;ARBITRARY_PROCESS,binary_like_files_not_decompiled
4119,gitguard,AlloyPlane/gitguard,https://github.com/AlloyPlane/gitguard,362ba209cad467e98f833ad8be2877589517f68a,ok,full_text_source,high_risk,44,8,8,26180,12,0,2,10,0,DYNAMIC_EVAL;ARBITRARY_PROCESS;FILE_DELETE;SENSITIVE_DSH,
4120,goal-acceptance,cckyros/goal-acceptance,https://github.com/cckyros/goal-acceptance,8b73a774039c9a469a99a3d7b4a58fabbbeef45c,ok_partial,partial,medium_risk,18,69,67,306113,6,0,0,6,1,FILE_DELETE,binary_like_files_not_decompiled
4121,harbor-self-evolving,istarwyh/harbor-self-evolving,https://github.com/istarwyh/harbor-self-evolving,a5733358366222dcdcde3b8da8df4a6ab2ad99e3,ok_partial,partial,high_risk,101,91,87,949340,19,0,11,8,1,SHELL_TRUE;PLUGIN_INSTALL_COMMAND;DYNAMIC_EVAL;SENSITIVE_DSH;ARBITRARY_PROCESS;FILE_DELETE,binary_like_files_not_decompiled
4122,hard-flash,Soulize/hard-flash,https://github.com/Soulize/hard-flash,372fb0535d71320b9d5e5c4dc42915ea7295e046,ok_partial,partial,high_risk,27,34,26,210345,6,1,0,5,8,REMOTE_DOWNLOAD_AND_EXECUTION;ARBITRARY_PROCESS;REMOTE_DOWNLOAD,binary_like_files_not_decompiled
4123,harness-desktop,988hj7tczd-oss/harness-desktop,https://github.com/988hj7tczd-oss/harness-desktop,c7fdc0b53873231913132464f89959da70ad68da,ok_partial,partial,high_risk,153,123,93,561164,43,0,6,37,29,PLUGIN_INSTALL_COMMAND;SHELL_TRUE;SENSITIVE_DSH;ARBITRARY_PROCESS;FILE_DELETE;REMOTE_DOWNLOAD,binary_like_files_not_decompiled
4124,harnessbay,SC0321/harnessbay,https://github.com/SC0321/harnessbay,06d5da30338b014ab79881c1548273669ad10aab,ok_partial,partial,high_risk,325,81,75,390272,78,3,16,59,5,REMOTE_DOWNLOAD_AND_EXECUTION;PLUGIN_INSTALL_COMMAND;SHELL_TRUE;SENSITIVE_DSH;HARDCODED_PASSWORD;ARBITRARY_PROCESS;FILE_DELETE;REMOTE_DOWNLOAD,binary_like_files_not_decompiled
4125,Harnex,YgtqRun/Harnex,https://github.com/YgtqRun/Harnex,057a171f75520ab98a18bf6a3cf3eb66e47a5c95,ok_partial,partial,high_risk,59,94,40,115150,17,0,2,15,52,PLUGIN_INSTALL_COMMAND;ARBITRARY_PROCESS;SENSITIVE_DSH,binary_like_files_not_decompiled
4126,hetu-hammurabi,hetu-altas/hetu-hammurabi,https://github.com/hetu-altas/hetu-hammurabi,5ae5fe8cf4834795495d40630abeb9a61d047d17,ok,full_text_source,malicious_candidate,249,257,257,2568088,66,3,6,57,0,RANSOMWARE_COMMAND;REMOTE_DOWNLOAD_AND_EXECUTION;SECRET_LOG;PLUGIN_INSTALL_COMMAND;ARBITRARY_PROCESS;SENSITIVE_DSH;REMOTE_DOWNLOAD;FILE_DELETE,
4127,hud-bar-for-dsh,blktea814/hud-bar-for-dsh,https://github.com/blktea814/hud-bar-for-dsh,df95bc31566794ebfccc8755d419a308a6fb4266,ok_partial,partial,high_risk,14,10,8,92205,2,0,2,0,2,SHELL_TRUE,binary_like_files_not_decompiled
4128,huluTable-dsh-plugin,huluwocom/huluTable-dsh-plugin,https://github.com/huluwocom/huluTable-dsh-plugin,43cd0f08d9a1143b4538e14b8362cda8b5d5d990,ok_partial,partial,high_risk,65,137,119,871826,11,0,8,3,17,PLUGIN_INSTALL_COMMAND;SHELL_TRUE;INSTALL_LIFECYCLE_SCRIPT;ARBITRARY_PROCESS,binary_like_files_not_decompiled
4129,imgpost,hige6/imgpost,https://github.com/hige6/imgpost,5f38b72b669a5d810cd3336c397adb7d674842bd,ok,full_text_source,high_risk,80,6,6,59566,14,2,5,7,0,SENSITIVE_SOURCE_NETWORK_SINK;CHAT_TO_AGENT_WITHOUT_ALLOWLIST;PLUGIN_INSTALL_COMMAND;SHELL_TRUE;SENSITIVE_DSH;FILE_DELETE;ARBITRARY_PROCESS,
4130,inferglow,drscrewdriver/inferglow,https://github.com/drscrewdriver/inferglow,01e30aacdb76766e3173c23225fb71621e34134f,ok_partial,partial,high_risk,675,1089,1067,8003250,173,0,39,134,1,AUTO_APPROVAL;SHELL_TRUE;SECRET_LOG;HARDCODED_PASSWORD;SENSITIVE_DSH;BINARY_ARTIFACT,large_text_candidate:bin/inferglow-cli:10951601; precompiled_binary_artifacts_not_decompiled
4131,inspiration-deck-workshop,zjsthmjialin/inspiration-deck-workshop,https://github.com/zjsthmjialin/inspiration-deck-workshop,c2252ed83462623cebc4ffd198d6ffa0af7bea47,ok_partial,partial,high_risk,112,434,410,1028048,24,0,10,14,24,SHELL_TRUE;ARBITRARY_PROCESS;PATH_USER_INPUT;FILE_DELETE,binary_like_files_not_decompiled
4132,intent-flow,TheChengXi/intent-flow,https://github.com/TheChengXi/intent-flow,ec8e6d64b3d96d89f14969e1645d1e156a55535b,ok_partial,partial,high_risk,380,600,578,2202083,80,0,35,45,20,SHELL_TRUE;DYNAMIC_EVAL;SENSITIVE_DSH;ARBITRARY_PROCESS;FILE_DELETE;SUDO_COMMAND;INSTALL_LIFECYCLE_SCRIPT;BINARY_ARTIFACT,precompiled_binary_artifacts_not_decompiled
4133,interaction-doc,weigre/interaction-doc,https://github.com/weigre/interaction-doc,bb6e89882a1c390bdb58cc7359c3bf5e8c174d34,ok_partial,partial,no_obvious_malicious_findings,0,10,9,37270,0,0,0,0,1,,binary_like_files_not_decompiled
4134,interchange-plugin,lumi-lei/interchange-plugin,https://github.com/lumi-lei/interchange-plugin,d3861571e13005292d78cc15fa193d20b3a8eb1b,ok,full_text_source,high_risk,122,81,80,399924,35,1,2,32,0,CHAT_TO_AGENT_WITHOUT_ALLOWLIST;PLUGIN_INSTALL_COMMAND;PERSISTENCE_UNIX;SENSITIVE_DSH;FILE_DELETE;ARBITRARY_PROCESS;PATH_USER_INPUT;HARDCODED_PASSWORD,
4135,ironlaw,Porphyrioon/ironlaw,https://github.com/Porphyrioon/ironlaw,40b02e36433e4415ea8f75587a77933719df233d,ok,full_text_source,high_risk,95,65,64,147089,29,0,2,27,0,PLUGIN_INSTALL_COMMAND;SENSITIVE_SSH;FILE_DELETE;HARDCODED_PASSWORD;SENSITIVE_DSH;ARBITRARY_PROCESS,
4136,iterate-plugin,jingzhao-l/iterate-plugin,https://github.com/jingzhao-l/iterate-plugin,a6765888d98f0131aa4b3604bd0b1d5a522a95ea,ok,full_text_source,high_risk,74,63,62,676192,22,0,2,20,0,SHELL_TRUE;GIT_CLONE;SENSITIVE_DSH;FILE_DELETE;ARBITRARY_PROCESS,
4137,jayhe-dsh-gamemaker,1149784810/jayhe-dsh-gamemaker,https://github.com/1149784810/jayhe-dsh-gamemaker,072d6b293b04cdd528da1dfe7f1e3a09a762b299,ok,full_text_source,medium_risk,9,15,15,44509,3,0,0,3,0,SENSITIVE_DSH,
4138,jina-web-search-dsh-plugin,minatoAI/jina-web-search-dsh-plugin,https://github.com/minatoAI/jina-web-search-dsh-plugin,9e38f65fbc35db4cb586bbd470f34b756d390d5f,ok,full_text_source,high_risk,51,16,16,104079,13,0,3,10,0,SHELL_TRUE;SENSITIVE_DSH;ARBITRARY_PROCESS,
4139,jira-tasks-dsh-plugin,liu3734/jira-tasks-dsh-plugin,https://github.com/liu3734/jira-tasks-dsh-plugin,e99a5778b77c50e4e014c9a9bbb02fd4b98a9763,ok,full_text_source,high_risk,26,15,15,77713,6,0,2,4,0,PLUGIN_INSTALL_COMMAND;SENSITIVE_DSH;ARBITRARY_PROCESS,
4140,jumpserver-dsh,jumpserver-east/jumpserver-dsh,https://github.com/jumpserver-east/jumpserver-dsh,444369413dc68d852134c765b46fd156961211a0,ok,full_text_source,high_risk,162,46,45,193966,26,0,21,5,0,PLUGIN_INSTALL_COMMAND;TLS_VERIFY_DISABLED;SHELL_TRUE;SENSITIVE_DSH;INSTALL_LIFECYCLE_SCRIPT;BIND_ALL_INTERFACES;FILE_DELETE,
4141,JuneAgent,lemonorangeapple/JuneAgent,https://github.com/lemonorangeapple/JuneAgent,66b9d907f035a2972125c3e0b1d9917ca74d0776,ok,full_text_source,high_risk,10,17,17,66777,2,0,1,1,0,PLUGIN_INSTALL_COMMAND;SENSITIVE_DSH,
4142,keyringseam,fieldnote-ops/keyringseam,https://github.com/fieldnote-ops/keyringseam,22fdc53f882d55cb865511247622af51d2344796,ok_partial,partial,medium_risk,66,36,32,93216,22,0,0,22,3,ARBITRARY_PROCESS;FILE_DELETE;HARDCODED_PASSWORD;SENSITIVE_DSH,binary_like_files_not_decompiled
4143,kic-ai-cn,AlloyPlane/kic-ai-cn,https://github.com/AlloyPlane/kic-ai-cn,3dcbd06c793d24e5ade3208497a437d49051d382,ok,full_text_source,high_risk,125,24,23,139716,35,0,5,30,0,DYNAMIC_EVAL;SECRET_LOG;ARBITRARY_PROCESS;FILE_DELETE;SENSITIVE_DSH,
4144,knowledge-from-literature-and-bilibili,ChenSheg/knowledge-from-literature-and-bilibili,https://github.com/ChenSheg/knowledge-from-literature-and-bilibili,b9d3a2e8d4ba0dcae4e0da33f9543a557a3a08ab,ok,full_text_source,medium_risk,6,12,12,65473,2,0,0,2,0,ARBITRARY_PROCESS;PATH_USER_INPUT,
4145,Lafeng-UI-A-snazzy-personalized-custom-UI-plugin-for-DeepSeek-Harness-Cordis,JimingYang25/Lafeng-UI-A-snazzy-personalized-custom-UI-plugin-for-DeepSeek-Harness-Cordis,https://github.com/JimingYang25/Lafeng-UI-A-snazzy-personalized-custom-UI-plugin-for-DeepSeek-Harness-Cordis,ff3eee64b0a35f9022bc62cd0c291b5e906c40fa,ok_partial,partial,high_risk,21,31,7,60339,4,1,0,3,22,CHAT_TO_AGENT_WITHOUT_ALLOWLIST;WILDCARD_CORS;REMOTE_DOWNLOAD,binary_like_files_not_decompiled; large_text_candidate:video/la-feng-default-dynamic.mp4:21087255; large_text_candidate:music/Antisocial.mp3:6489042
4146,lazeword,xczhanjun/lazeword,https://github.com/xczhanjun/lazeword,214b105af1315a5cdc55a769b08df31e3769cff0,ok_partial,partial,high_risk,213,130,113,8951960,48,1,15,32,10,SENSITIVE_SOURCE_NETWORK_SINK;PLUGIN_INSTALL_COMMAND;SECRET_LOG;SHELL_TRUE;DYNAMIC_EVAL;FILE_DELETE;REMOTE_DOWNLOAD;SENSITIVE_DSH;GIT_CLONE;ARBITRARY_PROCESS,binary_like_files_not_decompiled; symlink_targets_not_followed
4147,LidAssistant,yinshi1226-ai/LidAssistant,https://github.com/yinshi1226-ai/LidAssistant,3b109cf38a491ab16cdbad7a459185bfe844c058,ok_partial,partial,high_risk,68,41,32,120988,12,0,8,4,9,PERSISTENCE_UNIX;FILE_DELETE,binary_like_files_not_decompiled
4148,LiuHe,wulun811/LiuHe,https://github.com/wulun811/LiuHe,3ac1a610c0d92d4faaf74dd1354a1fc6336041ea,ok,full_text_source,high_risk,1632,374,372,3203694,412,0,99,313,0,SHELL_TRUE;PLUGIN_INSTALL_COMMAND;SECRET_LOG;DYNAMIC_EVAL;FILE_DELETE;ARBITRARY_PROCESS;SENSITIVE_DSH;BIND_ALL_INTERFACES;HARDCODED_PASSWORD;GIT_CLONE,
4149,LocalWhale,penglai-doll/LocalWhale,https://github.com/penglai-doll/LocalWhale,f19708cb634946ff0ebfdc602bc3c6567b165ddd,ok_partial,partial,high_risk,58,131,122,445843,18,0,1,17,9,SHELL_TRUE;HARDCODED_PASSWORD;SENSITIVE_DSH;FILE_DELETE;REMOTE_DOWNLOAD,binary_like_files_not_decompiled
4150,logicprobe,AmethystLuna/logicprobe,https://github.com/AmethystLuna/logicprobe,4b68e0695fc4f353c38f2b21b9114840f8434b93,ok,full_text_source,high_risk,51,56,55,265935,9,0,6,3,0,PLUGIN_INSTALL_COMMAND;AUTO_APPROVAL;SENSITIVE_DSH,
4151,Lujo-MCP,lujoai/Lujo-MCP,https://github.com/lujoai/Lujo-MCP,cdf6ac783b15b0c408b42a07e6e28ffe2e3c16ac,ok,full_text_source,high_risk,438,295,295,2253724,131,1,9,121,0,HARD_CODED_PRIVATE_KEY;SECRET_LOG;DYNAMIC_EVAL;PLUGIN_INSTALL_COMMAND;SHELL_TRUE;SENSITIVE_DSH;FILE_DELETE;ARBITRARY_PROCESS;HARDCODED_PASSWORD;REMOTE_DOWNLOAD;INSTALL_LIFECYCLE_SCRIPT;BIND_ALL_INTERFACES,
4152,math-agent,RepInS-01/math-agent,https://github.com/RepInS-01/math-agent,117f219e1d4df4487d9c030199d604031c35fe91,ok,full_text_source,high_risk,21,11,11,84169,3,0,3,0,0,SHELL_TRUE,
